"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3706","parameterized methods","chromium","2026-04-01","passed","2026-04-01","","tests/usePageObjects.spec.ts","",""
"","3413","navigate to form page @smoke","chromium","2026-04-01","passed","2026-04-01","","tests/usePageObjects.spec.ts","",""
